filename,tile,domain,year,I0,J0,I1,J1,lat_sw,lon_sw,lat_se,lon_se,lat_nw,lon_nw,lat_ne,lon_ne,url
wrfout_d02_0026_2019.nc,26,d02,2019,2,262,11,271,56.22669983,-137.70820620,56.29556656,-137.09553530,56.59675026,-137.78620150,56.63852501,-137.25397875,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0026/wrfout_d02_0026_2019.nc
wrfout_d02_0027_2019.nc,27,d02,2019,2,272,11,281,56.59675026,-137.78620150,56.63852501,-137.25397875,56.94600105,-137.94355010,56.98817539,-137.40739823,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0027/wrfout_d02_0027_2019.nc
wrfout_d02_0028_2019.nc,28,d02,2019,2,282,11,291,56.94600105,-137.94355010,56.98817539,-137.40739823,57.29509926,-138.10375210,57.33764935,-137.56364823,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0028/wrfout_d02_0028_2019.nc
wrfout_d02_0029_2019.nc,29,d02,2019,2,292,11,301,57.29509926,-138.10375210,57.33764935,-137.56364823,57.64384842,-138.26695250,57.68679905,-137.72285082,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0029/wrfout_d02_0029_2019.nc
wrfout_d02_0030_2019.nc,30,d02,2019,2,302,11,311,57.64384842,-138.26695250,57.68679905,-137.72285082,57.99230003,-138.43320465,58.03565025,-137.88505175,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0030/wrfout_d02_0030_2019.nc
wrfout_d02_0031_2019.nc,31,d02,2019,2,312,11,321,57.99230003,-138.43320465,58.03565025,-137.88505175,58.34049987,-138.60255430,58.38420009,-138.05032733,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0031/wrfout_d02_0031_2019.nc
wrfout_d02_0032_2019.nc,32,d02,2019,2,322,11,331,58.34049987,-138.60255430,58.38420009,-138.05032733,58.68829918,-138.77515410,58.73242474,-138.21879960,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0032/wrfout_d02_0032_2019.nc
wrfout_d02_0033_2019.nc,33,d02,2019,2,332,11,341,58.68829918,-138.77515410,58.73242474,-138.21879960,59.03569984,-138.95110320,59.08025074,-138.39052198,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0033/wrfout_d02_0033_2019.nc
wrfout_d02_0034_2019.nc,34,d02,2019,2,342,11,351,59.03569984,-138.95110320,59.08025074,-138.39052198,59.38279914,-139.13044735,59.42774963,-138.56559752,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0034/wrfout_d02_0034_2019.nc
wrfout_d02_0035_2019.nc,35,d02,2019,2,352,11,361,59.38279914,-139.13044735,59.42774963,-138.56559752,59.72945023,-139.31329345,59.77482510,-138.74417498,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0035/wrfout_d02_0035_2019.nc
wrfout_d02_0036_2019.nc,36,d02,2019,2,362,11,371,59.72945023,-139.31329345,59.77482510,-138.74417498,60.10703278,-139.53113303,60.15259933,-138.90728253,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0036/wrfout_d02_0036_2019.nc
wrfout_d02_0037_2019.nc,37,d02,2019,2,372,11,373,60.10703278,-139.53113303,60.15259933,-138.90728253,60.10703278,-139.53113303,60.15259933,-138.90728253,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0037/wrfout_d02_0037_2019.nc
wrfout_d02_0123_2019.nc,123,d02,2019,12,232,21,241,55.25979996,-136.64289860,55.32356644,-136.04329937,55.62880134,-136.71420290,55.66792583,-136.18864822,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0123/wrfout_d02_0123_2019.nc
wrfout_d02_0124_2019.nc,124,d02,2019,12,242,21,251,55.62880134,-136.71420290,55.66792583,-136.18864822,55.97949981,-136.85810090,56.01897430,-136.32867430,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0124/wrfout_d02_0124_2019.nc
wrfout_d02_0125_2019.nc,125,d02,2019,12,252,21,261,55.97949981,-136.85810090,56.01897430,-136.32867430,56.29556656,-137.09553530,56.36982536,-136.47125245,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0125/wrfout_d02_0125_2019.nc
wrfout_d02_0126_2019.nc,126,d02,2019,12,262,21,271,56.29556656,-137.09553530,56.36982536,-136.47125245,56.63852501,-137.25397875,56.72049999,-136.61645130,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0126/wrfout_d02_0126_2019.nc
wrfout_d02_0127_2019.nc,127,d02,2019,12,272,21,281,56.63852501,-137.25397875,56.72049999,-136.61645130,56.98817539,-137.40739823,57.07089996,-136.76432420,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0127/wrfout_d02_0127_2019.nc
wrfout_d02_0128_2019.nc,128,d02,2019,12,282,21,291,56.98817539,-137.40739823,57.07089996,-136.76432420,57.33764935,-137.56364823,57.42109966,-136.91492842,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0128/wrfout_d02_0128_2019.nc
wrfout_d02_0129_2019.nc,129,d02,2019,12,292,21,301,57.33764935,-137.56364823,57.42109966,-136.91492842,57.68679905,-137.72285082,57.77102470,-137.06840513,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0129/wrfout_d02_0129_2019.nc
wrfout_d02_0130_2019.nc,130,d02,2019,12,302,21,311,57.68679905,-137.72285082,57.77102470,-137.06840513,58.03565025,-137.88505175,58.12067509,-137.22480393,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0130/wrfout_d02_0130_2019.nc
wrfout_d02_0131_2019.nc,131,d02,2019,12,312,21,321,58.03565025,-137.88505175,58.12067509,-137.22480393,58.38420009,-138.05032733,58.46997547,-137.38415148,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0131/wrfout_d02_0131_2019.nc
wrfout_d02_0132_2019.nc,132,d02,2019,12,322,21,331,58.38420009,-138.05032733,58.46997547,-137.38415148,58.73242474,-138.21879960,58.81897545,-137.54657363,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0132/wrfout_d02_0132_2019.nc
wrfout_d02_0133_2019.nc,133,d02,2019,12,332,21,341,58.73242474,-138.21879960,58.81897545,-137.54657363,59.08025074,-138.39052198,59.16762638,-137.71214675,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0133/wrfout_d02_0133_2019.nc
wrfout_d02_0134_2019.nc,134,d02,2019,12,342,21,351,59.08025074,-138.39052198,59.16762638,-137.71214675,59.42774963,-138.56559752,59.51595020,-137.88104627,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0134/wrfout_d02_0134_2019.nc
wrfout_d02_0135_2019.nc,135,d02,2019,12,352,21,361,59.42774963,-138.56559752,59.51595020,-137.88104627,59.77482510,-138.74417498,59.86384964,-138.05329892,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0135/wrfout_d02_0135_2019.nc
wrfout_d02_0136_2019.nc,136,d02,2019,12,362,21,371,59.77482510,-138.74417498,59.86384964,-138.05329892,60.15259933,-138.90728253,60.24196625,-138.21058402,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0136/wrfout_d02_0136_2019.nc
