filename,tile,domain,year,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url,,,,,,,
wrfout_d02_0026_2019.nc,26,d02,2019,2,262,11,271,56.61759949,-137.2774048,56.22669983,-137.7082062,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0026/wrfout_d02_0026_2019.nc,,,,,,,
wrfout_d02_0027_2019.nc,27,d02,2019,2,272,11,281,56.96720123,-137.4309998,56.57590103,-137.8641968,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0027/wrfout_d02_0027_2019.nc,,,,,,,
wrfout_d02_0028_2019.nc,28,d02,2019,2,282,11,291,57.31669998,-137.5872955,56.92480087,-138.0229034,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0028/wrfout_d02_0028_2019.nc,,,,,,,
wrfout_d02_0029_2019.nc,29,d02,2019,2,292,11,301,57.66579819,-137.7465973,57.27349854,-138.1846008,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0029/wrfout_d02_0029_2019.nc,,,,,,,
wrfout_d02_0030_2019.nc,30,d02,2019,2,302,11,311,58.01459885,-137.9089966,57.62189865,-138.3493042,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0030/wrfout_d02_0030_2019.nc,,,,,,,
wrfout_d02_0031_2019.nc,31,d02,2019,2,312,11,321,58.36320114,-138.0744019,57.97000122,-138.5171051,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0031/wrfout_d02_0031_2019.nc,,,,,,,
wrfout_d02_0032_2019.nc,32,d02,2019,2,322,11,331,58.71139908,-138.2429047,58.31779861,-138.6880035,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0032/wrfout_d02_0032_2019.nc,,,,,,,
wrfout_d02_0033_2019.nc,33,d02,2019,2,332,11,341,59.05920029,-138.4147949,58.66519928,-138.8623047,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0033/wrfout_d02_0033_2019.nc,,,,,,,
wrfout_d02_0034_2019.nc,34,d02,2019,2,342,11,351,59.40670013,-138.5899963,59.0121994,-139.0399017,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0034/wrfout_d02_0034_2019.nc,,,,,,,
wrfout_d02_0035_2019.nc,35,d02,2019,2,352,11,361,59.75370026,-138.7686005,59.35889816,-139.220993,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0035/wrfout_d02_0035_2019.nc,,,,,,,
wrfout_d02_0036_2019.nc,36,d02,2019,2,362,11,371,60.10039902,-138.9508972,59.7052002,-139.4055939,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0036/wrfout_d02_0036_2019.nc,,,,,,,
wrfout_d02_0037_2019.nc,37,d02,2019,2,372,11,373,60.16970062,-138.987793,60.05099869,-139.5939026,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0037/wrfout_d02_0037_2019.nc,,,,,,,
wrfout_d02_0123_2019.nc,123,d02,2019,12,232,21,241,55.64720154,-136.2120972,55.25979996,-136.6428986,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0123/wrfout_d02_0123_2019.nc,,,,,,,
wrfout_d02_0124_2019.nc,124,d02,2019,12,242,21,251,55.99819946,-136.3522949,55.61040115,-136.7855072,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0124/wrfout_d02_0124_2019.nc,,,,,,,
wrfout_d02_0125_2019.nc,125,d02,2019,12,252,21,261,56.34899902,-136.4949951,55.96080017,-136.9306946,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0125/wrfout_d02_0125_2019.nc,,,,,,,
wrfout_d02_0126_2019.nc,126,d02,2019,12,262,21,271,56.6996994,-136.6403046,56.31100082,-137.0785065,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0126/wrfout_d02_0126_2019.nc,,,,,,,
wrfout_d02_0127_2019.nc,127,d02,2019,12,272,21,281,57.05009842,-136.7882996,56.66090012,-137.2290039,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0127/wrfout_d02_0127_2019.nc,,,,,,,
wrfout_d02_0128_2019.nc,128,d02,2019,12,282,21,291,57.40029907,-136.9391022,57.01060104,-137.3822937,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0128/wrfout_d02_0128_2019.nc,,,,,,,
wrfout_d02_0129_2019.nc,129,d02,2019,12,292,21,301,57.75019836,-137.0926056,57.36009979,-137.5384064,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0129/wrfout_d02_0129_2019.nc,,,,,,,
wrfout_d02_0130_2019.nc,130,d02,2019,12,302,21,311,58.09980011,-137.2492065,57.70930099,-137.697403,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0130/wrfout_d02_0130_2019.nc,,,,,,,
wrfout_d02_0131_2019.nc,131,d02,2019,12,312,21,321,58.44910049,-137.4085999,58.05820084,-137.8594055,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0131/wrfout_d02_0131_2019.nc,,,,,,,
wrfout_d02_0132_2019.nc,132,d02,2019,12,322,21,331,58.79809952,-137.5711975,58.40670013,-138.0245972,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0132/wrfout_d02_0132_2019.nc,,,,,,,
wrfout_d02_0133_2019.nc,133,d02,2019,12,332,21,341,59.14670181,-137.7368927,58.75500107,-138.1929016,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0133/wrfout_d02_0133_2019.nc,,,,,,,
wrfout_d02_0134_2019.nc,134,d02,2019,12,342,21,351,59.49499893,-137.905899,59.10290146,-138.3643951,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0134/wrfout_d02_0134_2019.nc,,,,,,,
wrfout_d02_0135_2019.nc,135,d02,2019,12,352,21,361,59.84289932,-138.0782928,59.45040131,-138.5393982,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0135/wrfout_d02_0135_2019.nc,,,,,,,
wrfout_d02_0136_2019.nc,136,d02,2019,12,362,21,371,60.19039917,-138.2541046,59.79750061,-138.717804,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0136/wrfout_d02_0136_2019.nc,,,,,,,
wrfout_d02_0137_2019.nc,137,d02,2019,12,372,21,373,60.25989914,-138.2895966,60.14419937,-138.899704,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0137/wrfout_d02_0137_2019.nc,,,,,,,
wrfout_d02_0216_2019.nc,216,d02,2019,22,162,31,171,53.2582016,-134.7086029,52.87649918,-135.1286926,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0216/wrfout_d02_0216_2019.nc,,,,,,,
wrfout_d02_0217_2019.nc,217,d02,2019,22,172,31,181,53.6108017,-134.8278961,53.22850037,-135.2505035,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0217/wrfout_d02_0217_2019.nc,,,,,,,
wrfout_d02_0218_2019.nc,218,d02,2019,22,182,31,191,53.96319962,-134.949295,53.58050156,-135.3742981,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0218/wrfout_d02_0218_2019.nc,,,,,,,
wrfout_d02_0219_2019.nc,219,d02,2019,22,192,31,201,54.31560135,-135.0726929,53.93239975,-135.5001984,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0219/wrfout_d02_0219_2019.nc,,,,,,,
wrfout_d02_0220_2019.nc,220,d02,2019,22,202,31,211,54.66790009,-135.1983032,54.28419876,-135.6284027,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0220/wrfout_d02_0220_2019.nc,,,,,,,
wrfout_d02_0221_2019.nc,221,d02,2019,22,212,31,221,55.02009964,-135.3262024,54.63579941,-135.7586975,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0221/wrfout_d02_0221_2019.nc,,,,,,,
wrfout_d02_0222_2019.nc,222,d02,2019,22,222,31,231,55.37210083,-135.4562073,54.98740005,-135.8914032,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0222/wrfout_d02_0222_2019.nc,,,,,,,
wrfout_d02_0223_2019.nc,223,d02,2019,22,232,31,241,55.72399902,-135.5886993,55.33879852,-136.0263977,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0223/wrfout_d02_0223_2019.nc,,,,,,,
wrfout_d02_0224_2019.nc,224,d02,2019,22,242,31,251,56.07569885,-135.7234955,55.69010162,-136.1638031,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0224/wrfout_d02_0224_2019.nc,,,,,,,
wrfout_d02_0225_2019.nc,225,d02,2019,22,252,31,261,56.42720032,-135.8607941,56.04119873,-136.3036041,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0225/wrfout_d02_0225_2019.nc,,,,,,,
wrfout_d02_0226_2019.nc,226,d02,2019,22,262,31,271,56.77859879,-136.0005951,56.39210129,-136.446106,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0226/wrfout_d02_0226_2019.nc,,,,,,,
wrfout_d02_0227_2019.nc,227,d02,2019,22,272,31,281,57.12969971,-136.1428986,56.74280167,-136.591095,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0227/wrfout_d02_0227_2019.nc,,,,,,,
wrfout_d02_0228_2019.nc,228,d02,2019,22,282,31,291,57.48059845,-136.2879944,57.09320068,-136.7388,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0228/wrfout_d02_0228_2019.nc,,,,,,,
